108.690,8410;27,59
108.508,9190;28,18
107.710,1830;28,11
109.017,8270;27,85
110.230,4430;28,04
110.625,9080;27,46
113.557,2730;27,43
114.503,0950;27,68
115.587,7110;26,90
128.687,8040;26,03
124.009,5510;27,02
121.412,2030;27,09
119.395,2020;26,78
119.018,8920;26,19
119.445,5810;24,59
121.345,4100;23,84
123.867,7470;23,24
124.702,3590;22,74
129.716,5620;22,49
130.681,8650;21,91
130.500,2850;21,66
145.124,8420;20,55
139.314,8910;21,00
135.250,6690;21,35
135.058,0790;21,09
133.943,6610;20,99
134.957,1330;20,73
136.118,1370;21,00
138.430,9170;21,43
139.756,1370;21,62
144.219,4670;21,78
144.113,3000;22,17
145.671,3460;22,40
161.404,2740;22,04
155.220,0740;23,02
151.500,1110;23,58
149.976,2000;23,73
150.078,3280;23,62
148.588,4020;23,80
150.882,9820;23,68
151.811,4620;23,90
153.062,5030;23,79
158.178,1520;23,48
159.004,0280;24,03
161.053,9930;24,11
176.443,1740;23,61
169.323,1580;24,85
165.175,4020;25,59
165.172,3210;25,79
163.748,4100;26,40
162.139,0750;27,01
162.875,3720;27,54
163.335,2840;28,35
162.382,1310;28,86
162.205,5010;29,38
167.946,5370;30,19
167.586,6390;30,47
183.458,3450;29,67
176.975,8260;31,35
173.041,5850;31,86
171.144,8600;32,05
170.185,4010;32,48
169.680,0530;32,59
169.098,1670;32,45
170.163,5890;32,89
169.002,4160;33,01
174.313,6410;33,08
173.729,9520;33,37
173.276,8710;33,20
189.935,1670;32,17
183.147,2510;32,91
179.467,8700;32,17
176.195,0070;32,10
177.127,7920;30,09
176.391,4970;29,45
178.331,8750;28,82
180.207,4690;28,87
178.840,0790;28,33
182.636,2870;26,90
181.262,1340;27,42
182.524,9320;26,81
200.801,7420;25,57
194.690,9270;26,17
189.931,5040;26,76
188.746,4380;26,09
186.720,8950;25,69
186.836,8330;24,82
189.207,3640;24,56
190.461,8940;24,37
191.333,2020;24,30
197.900,2120;24,21
197.271,0060;24,45
197.300,0350;24,45
215.208,4180;23,16
208.106,3750;24,68
202.173,9030;25,01
200.625,7400;25,34
199.813,8320;25,33
197.707,9460;25,20
199.208,5180;25,10
199.297,9320;24,96
199.556,6250;25,12
205.299,6820;24,46
205.612,2420;23,88
