3,0029
2,8911
2,8529
2,7860
2,7182
2,6930
2,5978
2,7047
2,5792
2,4528
2,4135
2,3735
2,3606
2,2944
2,2565
2,2108
2,2855
2,2739
2,1619
2,1520
2,1293
2,1781
2,2483
2,1893
2,1559
2,1687
2,1483
2,1579
2,1499
2,1385
2,0963
2,0887
2,0320
1,9816
1,9319
1,8828
1,9660
1,8996
1,8010
1,7699
1,7860
1,7743
1,7277
1,7076
1,6889
1,6605
1,6189
1,5914
1,6123
1,7996
2,1729
2,2663
2,3944
2,3074
2,3127
2,3138
2,2059
2,0609
1,9576
1,9328
1,8452
1,8198
1,7384
1,7260
1,7507
1,7798
1,8402
1,7858
1,7576
1,8132
1,8059
1,7696
1,7596
1,7187
1,6860
1,7133
1,6934
1,6748
1,6680
1,6591
1,5864
1,6135
1,5870
1,5639
1,5970
1,7498
1,7726
1,7905
1,8369
1,7897
1,7184
1,7953
1,8548
1,9860
2,0492
2,0287
2,0294
2,0281
2,0298
2,0678
2,0778
2,0311
1,9733
1,9828
2,0022
2,0348
2,1730
2,2522
2,3422
2,2705
2,1886
2,2954
2,3455
2,3822
2,3837
2,3261
2,2328
2,2209
2,2355
2,2246
2,2656
2,3329
2,4483
2,5484
2,6394
2,6342
2,8165
3,1395
3,0432
3,0617
3,1117
3,2231
3,5143
3,9065
3,8801
3,7765
3,8711
4,0524
3,9737
3,7039
3,5658
3,5393
3,4245
3,2753
3,2097
3,2564
3,1858
3,3420
3,3523
3,1966
3,1042
3,1279
3,1362
3,2095
3,2954
3,2061
3,1509
3,1348
3,1912
3,2594
3,2919
3,2106
3,2415
3,2792
3,4075
3,6361
3,7732
3,8288
3,9298
4,1165
3,7584
3,7867
3,8828
3,7417
3,7236
3,8465
3,8962
4,0015
3,8588
3,7793
4,0200
4,1215
4,0870
4,1553
